Date,Open,High,Low,Close,Adj Close,Volume,SP_open,SP_high,SP_low,SP_close,SP_Ajclose,SP_volume,DJ_close,DJ_open,DJ_high,DJ_low,DJ_Ajclose,DJ_volume,EG_open,EG_high,EG_low,EG_close,EG_Ajclose,EG_volume,EU_Price,EU_open,EU_high,EU_low,EU_Trend,OF_Price,OF_Open,OF_High,OF_Low,OF_Volume,OF_Trend,OS_Price,OS_Open,OS_High,OS_Low,OS_Trend,SF_Price,SF_Open,SF_High,SF_Low,SF_Volume,SF_Trend,USB_Price,USB_Open,USB_High,USB_Low,USB_Trend,PLT_Price,PLT_Open,PLT_High,PLT_Low,PLT_Trend,PLD_Price,PLD_Open,PLD_High,PLD_Low,PLD_Trend,RHO_PRICE,USDI_Price,USDI_Open,USDI_High,USDI_Low,USDI_Volume,USDI_Trend,GDX_Open,GDX_High,GDX_Low,GDX_Close,GDX_Adj Close,GDX_Volume,USO_Open,USO_High,USO_Low,USO_Close,USO_Adj Close,USO_Volume
26-02-2025,36.20201166,36.38399731,35.88591027,36.10071871,36.10071871,1830575.252,11206.17892,11260.11085,11134.3714,11198.28939,11198.28939,267349792.1,37239.14431,37272.75048,37452.06284,37030.96241,37239.14431,14175272.37,239.6180791,243.5431396,235.1968254,239.2691283,239.2691283,11131090.16,91.321,91.6145,91.7505,91.2455,1,72.53,73.16,73.34,72.39,126280,0,68.62,69.11,69.28,68.36,0,32.419,32.27,32.435,31.945,1930,1,7.419222546,7.423137338,7.43048108,7.410054247,0.469171739,970.5,968.8,988.6,968.4,1,6882.986076,6887.293165,6967.755443,6804.124304,0.49443038,10415.88978,87.113,87.086,87.192,87.014,14080,0,58.00504315,59.61624595,56.4724164,57.84693635,57.84693635,301016.4806,107.8946053,110.3248074,105.4437695,107.6447419,107.6447419,1566907.97
25-02-2025,73.91,74.11,73.42333333,73.79,73.79,5287216.667,22516.45,22625.3,22513.9,22547.55,22547.55,250280000,74602.12,74440.3,74785.08,74400.37,74602.12,10700000,422.9,423.7,406.35,409.25,409.25,16520000,91.6,90.726,91.6755,90.67,1,73.02,74.74,75.26,72.7,188290,1,68.93,70.92,71.26,68.68,1,31.976,32.89,32.935,31.77,1080,0,6.706,6.699,6.709,6.695,0,963.7,966.4,968.3,960,0,8128,8146,8198,8110,0,10051,87.13,86.698,87.263,86.674,18590,1,393.7,398,386.4,393,393,801910,126.15,128.59,125,125.59,125.59,585600
24-02-2025,74.35666667,74.35666667,72.93333333,73.59,73.59,6277810,22609.35,22668.05,22518.8,22553.35,22553.35,214320000,74454.41,74893.45,74907.04,74387.44,74454.41,6400000,435,435.7,419.05,422.85,422.85,6490000,90.698,90.869,91.1925,90.596,0,74.31,73.76,74.5,73.71,263740,1,70.7,69.8,70.94,69.8,1,32.763,33.045,33.27,32.6,760,1,6.7,6.696,6.707,6.693,0,964.7,984.4,989.1,965.2,1,8168,8246,8246,8154,1,10123,86.66,86.655,86.762,86.506,26720,0,385,399.9,378.8,389.8,389.8,1070000,130.55,130.55,125.15,126.1,126.1,755090
21-02-2025,74.42666667,74.42666667,72.8,73.14,73.14,5231073.333,22857.2,22921,22720.3,22795.9,22795.9,242750000,75311.06,75612.61,75748.72,75112.41,75311.06,12720000,435.25,442.25,432.6,438.2,438.2,11860000,90.537,90.9265,91.0245,90.4795,0,74.05,76.21,76.32,73.8,325120,0,70.4,72.58,72.77,70.17,0,33.012,33.45,33.54,32.81,63370,1,6.708,6.703,6.714,6.701,1,981.8,988.3,997.1,978.9,1,8242,8292,8300,8214,1,10099,86.572,86.509,86.779,86.456,16300,0,399,414,385,398.15,398.15,1850000,130,134.3,129.33,130.72,130.72,1730000
20-02-2025,74.17333333,74.39,73.25666667,73.53333333,73.53333333,5343266.667,22821.1,22923.85,22812.75,22913.15,22913.15,240840000,75735.96,75672.84,75794.15,75463.01,75735.96,6940000,422.9,435.5,422.05,433.5,433.5,10220000,90.889,90.563,90.9525,90.304,1,76.05,75.68,76.71,75.36,309860,1,72.57,72.18,73.25,71.85,1,33.486,33.15,33.785,33.085,56840,1,6.703,6.682,6.705,6.68,0,991.3,983.2,992.6,983.2,1,8282,8234,8294,8200,1,10032,86.561,86.902,86.926,86.542,14030,0,393.7,414.8,387.6,402.9,402.9,1540000,126.5,132.6,126.5,130.08,130.08,1370000
19-02-2025,73.85,74.08333333,72.99,73.81333333,73.81333333,4468390,22847.25,23049.95,22814.85,22932.9,22932.9,207000000,75939.18,75787.27,76338.58,75581.38,75939.18,5050000,416.1,427.4,414,423.5,423.5,9390000,90.548,90.744,90.9,90.38,0,75.67,75.44,76.4,75.38,250060,0,72.25,71.78,73.04,71.71,0,33.043,33.42,33.64,32.885,53730,0,7.419222546,7.423137338,7.43048108,7.410054247,0.469171739,986.2,1009.6,1011.8,984.1,0,8224,8170,8250,8144,0,10140,86.89,86.925,86.958,86.815,19400,1,356,408.25,350.65,401.7,401.7,2820000,123,128.35,122.18,127.71,127.71,1060000
18-02-2025,73.24,73.30333333,72.35,73.00333333,73.00333333,8117606.667,22963.65,22992.5,22801.5,22945.3,22945.3,210620000,75967.39,76073.71,76091.69,75531.01,75967.39,8650000,418.9,420,405,418.2,418.2,9350000,90.733,91.044,91.089,90.6745,1,75.43,74.95,75.67,74.59,285650,0,71.85,70.7,72.07,70.12,0,33.373,32.68,33.475,32.46,70600,1,6.682,6.7,6.7,6.68,0,1006.1,1012,1018.6,997.5,1,8166,8152,8210,8144,0,10161,86.867,86.855,86.987,86.837,21280,0,394.05,396,345.05,359.3,359.3,3320000,126.5,128.52,122,123.33,123.33,1340000
17-02-2025,73.77666667,73.81666667,71.63333333,72.67333333,72.67333333,6240110,22809.9,22974.2,22725.45,22959.5,22959.5,207390000,75996.86,75641.41,76041.96,75294.76,75996.86,8050000,413.35,415.9,401.4,415.15,415.15,9350000,90.993,90.866,91.151,90.8055,1,74.93,74.36,75.07,73.91,189580,0,71.61314914,71.63201842,72.64101816,70.53212586,0,22.28023166,22.29233539,22.57455393,21.98332921,40657.58692,0.480566281,6.692,6.694,6.694,6.687,1,1153.483427,1153.618699,1163.975022,1142.460412,0.491368148,8154,8090,8170,8082,0,10071,86.809,86.676,86.908,86.632,5650,0,378.9,399,366.45,394.05,394.05,1960000,124.56,128.3,122.52,127.06,127.06,1480000
14-02-2025,73.48666667,73.65,72.84,73.27,73.27,4286580,23096.45,23133.7,22774.85,22929.25,22929.25,254480000,75939.21,76388.99,76483.06,75439.64,75939.21,9250000,429.8,432,408.45,413.35,413.35,10210000,90.873,90.727,91.0915,90.6495,0,74.74,75,75.85,74.53,302060,0,70.71,71.38,71.88,70.5,0,32.855,32.99,34.24,32.585,107870,0,6.705,6.709,6.71,6.699,1,1019.2,1048.7,1058.6,1009.6,1,8104,8150,8190,8066,0,9967,86.62,86.779,86.905,86.562,20230,0,405.9,406.2,373.2,386.35,386.35,2190000,132.49,133.02,123.17,124.32,124.32,2590000
13-02-2025,73.61,73.62666667,72.51333333,72.84333333,72.84333333,5525163.333,23055.75,23235.5,22992.2,23031.4,23031.4,265710000,76138.97,76201.1,76764.53,76013.43,76138.97,6930000,425,431.8,421.05,424.55,424.55,5260000,90.712,90.273,90.7535,89.9385,0,75.02,74.97,75.37,74.06,331420,1,71.14,71.08,71.46,70.16,1,32.726,32.71,33.045,32.455,56020,0,6.712,6.723,6.723,6.699,1,1043.2,1045.9,1063.8,1040.6,1,8164,8138,8180,8136,1,9986,86.69,86.95,87.014,86.693,22230,1,425,427.1,400.1,403.45,403.45,1860000,131.5,135.87,130.48,132.3,132.3,1150000
