Date,price
10-04-2025,77.1
11-04-2025,79.97
12-04-2025,80.17
13-04-2025,79.97
14-04-2025,81.46
15-04-2025,81.89
16-04-2025,80.53333333
17-04-2025,80.14
18-04-2025,75.84
19-04-2025,83.45
20-04-2025,85.22
21-04-2025,82.84
22-04-2025,75.84
23-04-2025,82.52
24-04-2025,82.2
25-04-2025,82.33
26-04-2025,81.63
27-04-2025,82.43
28-04-2025,81.3
29-04-2025,81.51
30-04-2025,81.09
